PMID	Title	Abstract
7981624	Annexin 1 regulation in human epidermal cells.	Annexin 1 (named p35, lipocortin I or calpactin II), initially described as a glucocorticoid induced protein, belongs to a new characterized family of intracellular proteins. In the skin, the role of annexins has still not been elucidated. In a previous study, we reported the localization of annexin 1 in both freshly isolated human epidermal cells and in cultured keratinocytes using immunofluorescence, FACS analysis and immunoblotting techniques. The protein was characterized by Western blot and immunoprecipitation as a 35 kDa protein. Results from in vivo studies confirmed the presence of annexin 1 in basal and suprabasal layers of normal human skin with modified reactivity patterns in hyperproliferative lesions. In the present study, the role of glucocorticoids in annexin 1 regulation was investigated in epidermal cells by Western blot and immunoprecipation assays. In contrast to other studies, we found that glucocorticoid treatment of epidermal cells led to a decrease in annexin 1 content in the cytoplasm and the membranes of cells. As annexin 1 was not detected in the nucleus of cells, we conclude that there was a down regulation of annexin 1 after glucocorticoid treatments rather than a translocation of the protein to the nucleus. Despite the absence of the signal peptide sequence necessary for protein secretion, annexin 1 was released in the keratinocyte culture medium. We found that the protein was secreted only in low Ca2+ medium (0.15 mM), this process required an active metabolism.
11607047	A review of the pharmacological and clinical profile of mirtazapine.	The novel antidepressant mirtazapine has a dual mode of action. It is a noradrenergic and specific serotonergic antidepressant (NaSSA) that acts by antagonizing the adrenergic alpha2-autoreceptors and alpha2-heteroreceptors as well as by blocking 5-HT2 and 5-HT3 receptors. It enhances, therefore, the release of norepinephrine and 5-HT1A-mediated serotonergic transmission. This dual mode of action may conceivably be responsible for mirtazapine's rapid onset of action. Mirtazapine is extensively metabolized in the liver. The cytochrome (CYP) P450 isoenzymes CYP1A2, CYP2D6, and CYP3A4 are mainly responsible for its metabolism. Using once daily dosing, steady-state concentrations are reached after 4 days in adults and 6 days in the elderly. In vitro studies suggest that mirtazapine is unlikely to cause clinically significant drug-drug interactions. Dry mouth, sedation, and increases in appetite and body weight are the most common adverse effects. In contrast to selective serotonin reuptake inhibitors (SSRIs), mirtazapine has no sexual side effects. The antidepressant efficacy of mirtazapine was established in several placebo-controlled trials. In major depression, its efficacy is comparable to that of amitriptyline, clomipramine, doxepin, fluoxetine, paroxetine, citalopram, or venlafaxine. Mirtazapine also appears to be useful in patients suffering from depression comorbid with anxiety symptoms and sleep disturbance. It seems to be safe and effective during long-term use.
12512695	Vascular effects of COX inhibition and AT1 receptor blockade in transgenic rats harboring mouse renin-2 gene.	Ang II-induced endothelial dysfunction is associated with perivascular inflammation and increased superoxide production in the vascular wall. The present study examined the role of cyclo-oxygenase (COX)-synthetized eicosanoids in the pathogenesis of Ang II-induced endothelial dysfunction in transgenic rats harboring mouse renin-2 gene (mREN2 rats). Five-to-six-week-old, heterozygous mREN2 rats received the following drug regimens for 8 weeks: 1) vehicle, 2) cyclo-oxygenase-2 (COX-2) inhibitor (MF-tricyclic [3-(3,4-difluorophenyl)-4-(4-(methylsulfonyl) phenyl)-2(5H)-furanone], 14 mg/kg p.o.), 3) COX-1/COX-2 inhibitor (sulindac, 14 mg/kg p.o.), 4) angiotensin II receptor antagonist (losartan 40 mg/kg p.o.). Normotensive Sprague Dawley (SD) rats served as controls. In vitro vascular responses of the descending aorta and renal artery were studied using organ bath system. mREN2 rats developed pronounced hypertension which was associated with impaired endothelium-dependent and endothelium-independent vascular relaxations in the aorta. In contrast, the relaxation responses of the renal arteries remained largely unchanged in mREN2 rats. Urinary NO, excretion, a marker of total body NO generation, was also decreased in mREN2 rats. Neither non-selective COX inhibitor sulindac nor COX-2 selective MF-tricyclic were capable of preventing Ang II-induced hypertension or endothelial dysfunction in mREN2 rats, whereas ATi receptor antagonist losartan completely normalized blood pressure, vascular relaxation responses as well as urinary NOx excretion. Our findings indicate that NO synthesis and/or bioavailability as well as the sensitivity of arterial smooth muscle cells to NO are decreased in mREN2 rats. The present study also demonstrated that COX does not play a central role in the pathogenesis of Ang II-induced endothelial dysfunction in mREN2 rats.
23237733	Isoliquiritigenin showed strong inhibitory effects towards multiple UDP-glucuronosyltransferase (UGT) isoform-catalyzed 4-methylumbelliferone (4-MU) glucuronidation.	Isoliquiritigenin, a herbal ingredient with chalcone structure, has been speculated to be able to inhibit one of the most drug-metabolizing enzymes (DMEs) UDP-glucuronosyltransferase (UGT). Therefore, the aim of the present study was to investigate the inhibition of isoliquiritigenin towards important UGT isoforms in the liver and intestine, including UGT1A1, 1A3, 1A6, 1A7, 1A8, 1A9 and 1A10. The recombinant UGT-catalyzed 4-methylumbelliferone (4-MU) glucuronidation was used as probe reactions. The results showed that 100μM of isoliquiritigenin inhibited the activity of UGT1A1, UGT1A3, UGT1A6, UGT1A7, UGT1A8, UGT1A9, and UGT1A10 by 95.2%, 76.1%, 78.9%, 87.2%, 67.2%, 94.8%, and 91.7%, respectively. The data fitting using Dixon plot and Lineweaver-Burk plot showed that the inhibition of UGT1A1, UGT1A9 and UGT1A10 by isoliquiritigenin was all best fit to the competitive inhibition, and the second plot using the slopes from the Lineweaver-Burk plot versus isoliquiritigenin concentrations was used to calculate the inhibition kinetic parameter (K(i)) to be 0.7μM, 0.3μM, and 18.3μM for UGT1A1, UGT1A9, and UGT1A10, respectively. All these results indicated the risk of clinical application of isoliquiritigenin on the drug-drug interaction and other possible diseases induced by the inhibition of isoliquiritigenin towards these UGT isoforms.
23361305	Left ventricular noncompaction (LVNC) and low mitochondrial membrane potential are specific for Barth syndrome.	Barth syndrome (BTHS) is an X-linked mitochondrial defect characterised by dilated cardiomyopathy, neutropaenia and 3-methylglutaconic aciduria (3-MGCA). We report on two affected brothers with c.646G > A (p.G216R) TAZ gene mutations. The pathogenicity of the mutation, as indicated by the structure-based functional analyses, was further confirmed by abnormal monolysocardiolipin/cardiolipin ratio in dry blood spots of the patients as well as the occurrence of this mutation in another reported BTHS proband. In both brothers, 2D-echocardiography revealed some features of left ventricular noncompaction (LVNC) despite marked differences in the course of the disease; the eldest child presented with isolated cardiomyopathy from late infancy, whereas the youngest showed severe lactic acidosis without 3-MGCA during the neonatal period. An examination of the patients' fibroblast cultures revealed that extremely low mitochondrial membrane potentials (mtΔΨ about 50 % of the control value) dominated other unspecific mitochondrial changes detected (respiratory chain dysfunction, abnormal ROS production and depressed antioxidant defense). 1) Our studies confirm generalised mitochondrial dysfunction in the skeletal muscle and the fibroblasts of BTHS patients, especially a severe impairment in the mtΔΨ and the inhibition of complex V activity. It can be hypothesised that impaired mtΔΨ and mitochondrial ATP synthase activity may contribute to episodes of cardiac arrhythmia that occurred unexpectedly in BTHS patients. 2) Severe lactic acidosis without 3-methylglutaconic aciduria in male neonates as well as an asymptomatic mild left ventricular noncompaction may characterise the ranges of natural history of Barth syndrome.
9353417	Differential regulation of D2 and D4 dopamine receptor mRNAs in the primate cerebral cortex vs. neostriatum: effects of chronic treatment with typical and atypical antipsychotic drugs.	The RNase Protection Assay was used to examine the regulation of D2 and D4 dopamine receptor mRNAs in the cerebral cortex and neostriatum of nonhuman primates after chronic treatment with a wide spectrum of antipsychotic medications (chlorpromazine, clozapine, haloperidol, molindone, olanzapine, pimozide, remoxipride and risperidone). Tiapride, a D2 antagonist that lacks antipsychotic activity, was also included. All drugs were administered orally for 6 months at doses recommended for humans. All antipsychotic drug treatments examined in this study caused a statistically significant up-regulation of both the long and short isoforms of the D2 receptor mRNAs in the prefrontal and temporal cortex. Tiapride, in contrast, significantly up-regulated only the level of D2-long mRNA in these areas. The same drug treatments produced less uniform effects in the neostriatum than in the cortex: clozapine and olanzapine failed to significantly elevate either D2-long or D2-short receptor messages in this structure unlike all other drugs, including tiapride. In both the cerebral cortex and striatum, D4 receptor mRNA was upregulated by certain typical (chlorpromazine and haloperidol) and certain atypical (clozapine, olanzapine and risperidone) antipsychotic agents as well as by tiapride. Other drugs of the typical (molindone and pimozide) and atypical (remoxipride) classes had no effect on D4 mRNA levels in either cortical or striatal tissue. The finding that up-regulation of D2 dopamine receptor mRNAs was a consistently observed effect of a wide range of antipsychotic agents in the cerebral cortex but not in the neostriatum, coupled with the fact that the D2-short isoforms in the cortex were not regulated by a nonantipsychotic D2 antagonist, tiapride, draws attention to the importance of the D2 dopamine receptor in the cerebral cortex as a potentially critical, common site of action of antipsychotic medications.
14585280	Inhibitors of DNA methylation in the treatment of hematological malignancies and MDS.	"DNA methylation abnormalities have recently emerged as one of the most frequent molecular changes in hematopoietic neoplasms. Since methylation and transcriptional status are inversely correlated, the hypermethylation of genes involved in cell-cycle control and apoptosis could have a pathogenetic role in the development of cancer. In particular, high-risk myelodysplastic syndromes (MDS) and secondary leukemias show a high prevalence of tumor suppressor gene hypermethylation. The progression of chronic myeloproliferative diseases and of myelodysplastic syndromes, as well as that of lymphoproliferative diseases, is associated with an increased methylation rate, pointing to a role for hypermethylation of critical promoter regions in the transformation to more aggressive phenotypes. In the same line, a significantly worse prognosis has been shown for patients with hypermethylation of several genes compared to that of patients with unmethylated genes. For these reasons, the use of irreversible DNA methyltransferase inhibitors, such as 5-azacytidine and Decitabine, appears to be a promising option for the treatment of MDS and acute myeloid leukemia. In clinical trials, Azacytidine results in a significantly higher response rate, improved quality of life, reduced risk of leukemic transformation, and improved survival compared to supportive care. Similarly, Decitabine showed favorable results, promising response rates, a good nonhematologic toxicity profile, and a trend for better survival compared to intensive chemotherapy, particularly in older patients. The synergistic effect of histone deacetylase inhibitors, including phenylbutyrate (PB), in reactivating silenced genes encouraged clinical studies on the combination of PB and demethylating agents in hematological diseases, characterized by p15 silencing. The sequential administration of a ""first generation"" demethylating agent and HDAC inhibitors gave preliminary evidence of a reduced methylation of target genes, as also described with Decitabine. Clinical trials are still ongoing, and preliminary data indicate for the first time that the natural history of MDS may be changed by a non-intensive treatment, characterized by an outstanding toxicity profile."
23211364	AT1 receptor antagonism is proangiogenic in the brain: BDNF a novel mediator.	Candesartan is an angiotensin II type 1 receptor blocker (ARB) that has been to shown to limit ischemic stroke and improve stroke outcome. In experimental stroke, candesartan induces a proangiogenic effect that is partly attributable to vascular endothelial growth factor. Brain-derived neurotrophic factor (BDNF) is a member of the neurotrophin family that has been reported to have angiogenic effects and play an important role in recovery after stroke. The purpose of this investigation was to determine the role of BDNF in the proangiogenic effect of candesartan in the brain under hypertensive conditions. Accordingly, spontaneously hypertensive rats were treated with candesartan, and brain tissue samples were collected for quantification of BDNF expression. In addition, human cerebromicrovascular endothelial cells were treated with either low-dose (1 ƒM) or high-dose (1 µM) angiotensin II alone or in combination with candesartan (0.16 µM) to assess the effect of candesartan treatment and BDNF involvement in the behavior of endothelial cells. Candesartan significantly increased the expression of BDNF in the SHR (P < 0.05). In addition, candesartan reversed the antiangiogenic effect of the 1-µM dose of AngII (P = 0.0001). The observed effects of candesartan were ablated by neutralizing the effects of BDNF. Treatment with the AT2 antagonist PD-123319 significantly reduced tube-like formation in endothelial cells. AT2 stimulation induced the BDNF expression and migration (P < 0.05). In conclusion, candesartan exerts a proangiogenic effect on brain microvascular endothelial cells treated with angiotensin II. This response is attributable to increased BDNF expression and is mediated through stimulation of the AT2 receptor.
23624810	Antiaggressive activity of central oxytocin in male rats.	RATIONALE: A substantial body of research suggests that the neuropeptide oxytocin promotes social affiliative behaviors in a wide range of animals including humans. However, its antiaggressive action has not been unequivocally demonstrated in male laboratory rodents. OBJECTIVE: Our primary goal was to examine the putative serenic effect of oxytocin in a feral strain (wild type Groningen, WTG) of rats that generally show a much broader variation and higher levels of intermale aggression than commonly used laboratory strains of rats. METHODS: Resident animals were intracerebroventricularly (icv) administered with different doses of synthetic oxytocin and oxytocin receptor antagonist, alone and in combination, in order to manipulate brain oxytocin functioning and to assess their behavioral response to an intruder. RESULTS: Our data clearly demonstrate that acute icv administered oxytocin produces dose-dependent and receptor-selective changes in social behavior, reducing aggression and potentiating social exploration. These antiaggressive effects are stronger in the more offensive rats. On the other hand, administration of an oxytocin receptor antagonist tends to increase (nonsignificantly) aggression only in low-medium aggressive animals. CONCLUSIONS: These results suggest that transiently enhancing brain oxytocin function has potent antiaggressive effects, whereas its attenuation tends to enhance aggressiveness. In addition, a possible inverse relationship between trait aggression and endogenous oxytocinergic signaling is revealed. Overall, this study emphasizes the importance of brain oxytocinergic signaling for regulating intermale offensive aggression. This study supports the suggestion that oxytocin receptor agonists could clinically be useful for curbing heightened aggression seen in a range of neuropsychiatric disorders like antisocial personality disorder, autism, and addiction.
10626836	Lithium modulates desensitization of the glutamate receptor subtype gluR3 in Xenopus oocytes.	Analysis of splice variants and site-directed mutants of the AMPA receptor GluR3 expressed in Xenopus oocytes has shown that lithium produces a large potentiation of the GluR3 flop splice variant and suggested that lithium might inhibit rapid desensitization, which is characteristic of this receptor (Karkanias, N. and Papke, R., Subtype-specific effects of lithium on glutamate receptor function. J. Neurophysiol., 81 (1999) 1506-1512). We now show that mutation of the 769R/ G desensitization site (Lomeli, H.M.J., Melcher, T., Hoger, T., Geiger, J.R., Kuner, T., Monyer, H., Higuchi, M.B.A. and Seeburg, P.H, Control of kinetic properties of AMPA receptor channels by nuclear RNA editing. Science, 9(266) (1994) 1709-1713) greatly attenuates the lithium-induced potentiation of GluR3. Additionally, experiments with the non-desensitizing site-directed mutant GluR3(L507Y) (Stern-Bach, Y., Russo, S., Neuman, M. and Rosenmund, C., A point mutation in the glutamate binding site blocks desensitization of AMPA receptors. Neuron, 21 (1998) 907-918) further confirms that lithium enhances GluR3 responses by reducing desensitization, since lithium's effects are reversed in this mutant. Lithium's effects on GluR3 desensitization are distinct from the effects of aniracetam on desensitization. Specifically, aniracetam, which potentiates wild-type AMPA receptors, is ineffective on the non-desensitizing GluR3(L507Y) mutant, but has synergistic effects with lithium on wild-type receptors.
